Eye_Status,left_eye,right_eye,Yawn_Status,Head_Pose
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,forward_look,Unknown,Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,forward_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,Yawn,Forward Look
Fully Opened,Unknown,Unknown,Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Half Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Closed,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,left_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Half Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,right_look,right_look,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Closed,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,right_look,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,No Yawn,Forward Look
Half Opened,Unknown,Unknown,No Yawn,Forward Look
Fully Opened,Unknown,Unknown,Yawn,Forward Look
Fully Opened,Unknown,Unknown,Yawn,Forward Look
Fully Opened,Unknown,Unknown,Yawn,Forward Look
Fully Opened,Unknown,Unknown,Yawn,Forward Look
